workflow_id,model_label,feature_set,threshold,scheme,accuracy,sensitivity,specificity,precision,f_meas
lr_audio,Logistic Regression,audio,0.22999999999999998,CV-tuned (F1),0.5862068965517241,0.9358490566037736,0.4400630914826498,0.41127694859038144,0.5714285714285714
lr_audio,Logistic Regression,audio,0.5,default (0.5),0.7030033370411568,0.09433962264150944,0.9574132492113565,0.4807692307692308,0.15772870662460567
lr_genre,Logistic Regression,audio+genre,0.29,CV-tuned (F1),0.7652947719688543,0.8264150943396227,0.7397476340694006,0.5703125,0.674884437596302
lr_genre,Logistic Regression,audio+genre,0.5,default (0.5),0.7842046718576196,0.5622641509433962,0.8769716088328076,0.6563876651982379,0.6056910569105691
rf_audio,Random Forest,audio,0.31,CV-tuned (F1),0.6540600667408232,0.8037735849056604,0.5914826498422713,0.451271186440678,0.5780189959294437
rf_audio,Random Forest,audio,0.5,default (0.5),0.7241379310344828,0.2,0.943217665615142,0.5955056179775281,0.29943502824858753
rf_genre,Random Forest,audio+genre,0.33,CV-tuned (F1),0.778642936596218,0.8339622641509434,0.7555205047318612,0.5877659574468085,0.689547581903276
rf_genre,Random Forest,audio+genre,0.5,default (0.5),0.8031145717463849,0.5283018867924528,0.917981072555205,0.7291666666666666,0.612691466083151
svm_audio,SVM (RBF),audio,0.25,CV-tuned (F1),0.5895439377085651,0.7547169811320755,0.5205047318611987,0.3968253968253968,0.5201560468140443
svm_audio,SVM (RBF),audio,0.5,default (0.5),0.6863181312569522,0.15471698113207547,0.9085173501577287,0.41414141414141414,0.2252747252747253
svm_genre,SVM (RBF),audio+genre,0.19,CV-tuned (F1),0.7575083426028921,0.7433962264150943,0.7634069400630915,0.5677233429394812,0.6437908496732024
svm_genre,SVM (RBF),audio+genre,0.5,default (0.5),0.7775305895439377,0.47547169811320755,0.9037854889589906,0.6737967914438503,0.5575221238938054
